IsBadBuy,PurchDate,Auction,VehYear,VehicleAge,Make,Model,Trim,SubModel,Color,Transmission,WheelTypeID,WheelType,VehOdo,Nationality,Size,MMRAcquisitionAuctionAveragePrice,VehBCost,WarrantyCost
0,6/17/2009,MANHEIM,2001,8.0,NISSAN,ALTIMA 2.4L I4 EFI,GXE,4D SEDAN GXE,WHITE,AUTO,2.0,Covers,80702.0,TOP LINE ASIAN,MEDIUM,2942.0,4160.0,1023
0,10/5/2010,OTHER,2008,Five,FORD,TAURUS,SEL,4D SEDAN SEL,SILVER,AUTO,1.0,Alloy,88245.0,AMERICAN,MEDIUM,9817.0,7850.0,1633
0,2/10/2010,MANHEIM,2002,8.0,CHEVROLET,TRAILBLAZER 2WD 6C,LS,4D SUV 4.2L LS,SILVER,AUTO,1.0,Alloy,83441.0,AMERICAN,MEDIUM SUV,4455.0,8020.0,1543
0,5/11/2010,MANHEIM,2006,4.0,CHRYSLER,TOWN & COUNTRY 2WD V,LX,MINIVAN 3.3L,GREEN,AUTO,2.0,Covers,,AMERICAN,VAN,6807.0,5925.0,1918
0,3/25/2009,MANHEIM,2005,4.0,CHEVROLET,TRAILBLAZER 2WD 6C 4,LS,4D SUV 4.2L LS,GOLD,AUTO,,,76989.0,AMERICAN,MEDIUM SUV,7966.0,8085.0,1155
0,1/28/2010,ADESA,2006,4.0,KIA,OPTIMA 4C,LX,4D SEDAN LX,RED,AUTO,2.0,Covers,44166.0,OTHER ASIAN,MEDIUM,4440.0,6450.0,623
0,9/30/2009,MANHEIM,2007,2.0,FORD,FIVE HUNDRED 3.0L V6,SEL,4D SEDAN SEL,BLACK,AUTO,,,75258.0,AMERICAN,LARGE,9696.0,7260.0,1506
0,5/20/2010,OTHER,2009,1.0,CHRYSLER,SEBRING 4C,LX,4D SEDAN,BLUE,AUTO,2.0,Covers,44475.0,AMERICAN,MEDIUM,9132.0,8700.0,834
0,8/17/2010,ADESA,2005,5.0,FORD,MUSTANG V6,Bas,2D COUPE,BEIGE,AUTO,1.0,Alloy,56858.0,AMERICAN,SPORTS,8189.0,8115.0,671
0,12/7/2010,MANHEIM,2003,7.0,CHEVROLET,CAVALIER 4C,Bas,2D COUPE,YELLOW,AUTO,2.0,Covers,100927.0,AMERICAN,COMPACT,2389.0,4260.0,1750
0,3/10/2010,MANHEIM,2001,9.0,TOYOTA,CAMRY SOLARA V6,SLE,2D COUPE SE,SILVER,AUTO,,,81599.0,TOP LINE ASIAN,MEDIUM,4395.0,6910.0,894
0,3/2/2010,MANHEIM,2003,7.0,FORD,TAURUS,SES,4D SEDAN SES,SILVER,AUTO,1.0,Alloy,66882.0,AMERICAN,MEDIUM,3129.0,3820.0,1125
0,6/4/2009,MANHEIM,2006,3.0,CHRYSLER,PT CRUISER 2.4L I4 S,Tou,4D SEDAN TOURING,WHITE,AUTO,2.0,Covers,70511.0,AMERICAN,MEDIUM,5458.0,5530.0,1389
0,8/18/2010,MANHEIM,2007,3.0,CHEVROLET,IMPALA,LS,4D SEDAN LS,GOLD,AUTO,2.0,Covers,86051.0,AMERICAN,LARGE,8040.0,7300.0,2152
1,8/20/2009,ADESA,2007,2.0,CHRYSLER,SEBRING 4C 2.4L I4 E,Bas,4D SEDAN,SILVER,AUTO,,,60153.0,AMERICAN,MEDIUM,7136.0,7040.0,1020
0,9/17/2009,OTHER,2007,2.0,CHRYSLER,PT CRUISER 2.4L I4 S,Tou,4D SEDAN,SILVER,AUTO,2.0,Covers,45058.0,AMERICAN,MEDIUM,6181.0,6220.0,975
0,2/8/2010,MANHEIM,2005,5.0,CHEVROLET,COBALT,LS,4D SEDAN,RED,AUTO,1.0,Alloy,73302.0,AMERICAN,COMPACT,4160.0,5500.0,803
0,5/14/2009,MANHEIM,2006,3.0,KIA,SPECTRA 2.0L I4 EFI,EX,4D SEDAN,SILVER,AUTO,2.0,Covers,77003.0,OTHER ASIAN,MEDIUM,4029.0,4810.0,569
0,12/9/2010,MANHEIM,2005,5.0,CHEVROLET,MALIBU V6,LS,4D SEDAN LS,SILVER,AUTO,,,46986.0,AMERICAN,MEDIUM,4119.0,7385.0,905
0,8/21/2009,OTHER,2008,1.0,DODGE,CALIBER 2.0L I4 SFI,SE,4D WAGON,BLUE,AUTO,2.0,Covers,42756.0,AMERICAN,MEDIUM,7302.0,7400.0,693
0,10/14/2010,ADESA,2007,3.0,FORD,TAURUS,SE,4D SEDAN SE,BLUE,AUTO,,,76944.0,AMERICAN,MEDIUM,4951.0,4865.0,920
1,12/15/2010,MANHEIM,2004,6.0,DODGE,1500 RAM PICKUP 2WD,ST,QUAD CAB 4.7L SLT,GOLD,AUTO,1.0,Alloy,85306.0,AMERICAN,LARGE TRUCK,6593.0,7540.0,983
0,8/21/2009,MANHEIM,2004,5.0,OLDSMOBILE,ALERO V6 3.4L V6 MPI,GL,4D SEDAN GL,GREY,AUTO,,,73330.0,AMERICAN,MEDIUM,3307.0,4900.0,2208
0,2/18/2009,ADESA,2002,7.0,JEEP,LIBERTY 4WD V6 3.7L,Spo,4D SUV SPORT,BROWN,AUTO,1.0,Alloy,75346.0,AMERICAN,SMALL SUV,4770.0,5700.0,1220
0,11/18/2010,MANHEIM,2005,5.0,FORD,TAURUS,SEL,4D SEDAN SEL FFV,RED,AUTO,,,103927.0,AMERICAN,MEDIUM,3428.0,4105.0,1130
0,11/9/2009,MANHEIM,2007,2.0,CHEVROLET,TRAILBLAZER 2WD 6C,LS,4D SUV 4.2L,MAROON,AUTO,,,64910.0,AMERICAN,MEDIUM SUV,11071.0,9400.0,1020
0,4/28/2009,ADESA,2005,4.0,FORD,TAURUS 3.0L V6 EFI,SE,4D SEDAN SE,MAROON,AUTO,,,,AMERICAN,MEDIUM,3688.0,4690.0,693
0,4/21/2009,MANHEIM,2004,5.0,DODGE,STRATUS 4C 2.4L I4 M,SE,4D SEDAN,GOLD,AUTO,2.0,Covers,61649.0,AMERICAN,MEDIUM,2636.0,5000.0,1020
0,7/19/2010,OTHER,2004,6.0,FORD,ESCAPE 4WD V6,XLT,4D CUV 3.0L XLT,SILVER,AUTO,1.0,Alloy,86762.0,AMERICAN,SMALL SUV,5509.0,7155.0,1503
0,7/28/2009,OTHER,2007,2.0,CHRYSLER,300 2.7L V6 MPI,Bas,4D SEDAN,BLACK,AUTO,,,64346.0,AMERICAN,SPECIALTY,10900.0,10150.0,1215
0,2/18/2009,MANHEIM,2006,3.0,FORD,FREESTYLE FWD V6 3.0,SE,4D CUV 3.0L SE,GREEN,AUTO,1.0,Alloy,78842.0,AMERICAN,CROSSOVER,7626.0,7460.0,1506
